din­ing	!din­ing/JJ NN
pals-chase	NN NN !pals-chase/NN
clusters	VV CD NN IN NNS !cluster/NNS
semi-precious	CD NN IN !semi-precious/JJ
cabana	CD NN IN NN !cabana/NN NN
$17.62	RB IN RB !$17.62/JJ
outerwear	VV CD NN IN !outerwear/NP
socket	JJ !socket/NN NNS JJ
bodygroom	JJ !bodygroom/NN NN IN NN
10k	VV CD NN IN !10k/NP NN NNS IN NP SYM RB TO CD NN IN JJ JJ NN
bug	VV CD NN IN NN NN JJ !bug/NN
$16.52	JJ NN IN NN NN IN !$16.52/NN
extravaganza	NN !extravaganza/NN VV NN IN NN CC NN IN NN
alta	VV CD NN IN JJ !alta/NN NN NN
$71	VV !$71/JJ IN JJ NN NN
70-piece	VV CD NN IN NP !70-piece/NP NN NN NN NN NN
hard-anodized	VV CD NN IN NN JJ !hard-anodized/JJ NN JJ NN NN
heys	!hay/NNS
medallion	VV NN IN VV NP !medallion/NN CD NN NN NN JJ NN IN NN
62pc	VV CD NN IN NNS !62pc/JJ
naturalizer	!naturalizer/NN NN NNS
open	VV CD NN IN JJ !open/JJ NN NNS
2.0	CD NN IN NN NN !@card@/CD JJ NN
bulk	!bulk/JJ NN NN NNS
fire/	CD NN IN NP CD NN !fire//NN NN JJ NN JJ
m	VV CD NN IN NN CD !m/NN NN
bedroom	NP NP !bedroom/NN NN
ebook	NN CD !ebook/NN NN IN NN
halls	!hall/NNS NN NNS
$9	VV !$9/NN RB VVZ
hand-breaded	CD NNS IN NN !hand-breaded/JJ JJ NN NN IN JJ NN
hv	VV CD NN IN NN NN NN JJ JJ !hv/NP NP NN
ecco	!ecco/NP NP NN NN CD JJ NN
about	NN NN NNS TO VV !about/IN JJ NN
bbqs	!bbqs/NNS SYM JJ CD NN IN JJ NN IN NN NN
macdonald	VV DT JJ JJ NN NN IN DT NN NN NP !Macdonald/NP
$14.5	!$14.5/JJ NN
detective	VV CD NN IN DT JJ !detective/NN
guard	VV CD NN IN NN !guard/NN NN NN JJ JJ CC JJ NN NN
norton	!Norton/NN NN NN CD IN NN
$6.79	JJ NN NNS NN IN !$6.79/NN
oxfords	CD NN IN NNS JJ NN NN !oxfords/NNS
binocular	CD NN IN NP NN !binocular/JJ
advantage	VV !advantage/NN IN JJ NNS IN NN RB IN NN
avante	VV CD NN IN NN !avante/NN JJ JJ NN
bouclair	!bouclair/NP NN NN NNS CC NN NN NN
rickis	!rickis/NP NP NN
sex	VV CD NN IN !sex/NN CC DT NN
dominos	!dominoes/NN NN NN NNS
statue	CD NN IN NN NN NN JJ NNS NN NN !statue/NN
$119.97	IN !$119.97/JJ
stone-baked	VV CD !stone-baked/JJ JJ NN NN
dairy	!dairy/NN NN NN NNS
slow	JJ !slow/JJ NN
blanket	VV NN NN IN NNS NN NN NN JJ !blanket/NN SYM CD NN JJ NN SYM JJ CD NN IN NP NN
pacs	VV CD NN IN NN NN JJ NN NN NN NN CD NN IN NN JJ JJ NN !Pacs/NP
banks	VV JJ IN JJ NN !bank/NNS
sunrise	VV CD NN IN JJ JJ JJ JJ !sunrise/NN NN
connectivity	VV CD NN IN NN NN NN CD NN IN NN !connectivity/NN
chefmandirect	VV CD NN CD NN IN !chefmandirect/NN JJ NNS
spotlight	NN JJ JJ VVN !spotlight/NN
awakens	DT NN !awaken/VVZ JJR
lands	!land/NNS VVP NN NN CC NNS NN
ambulance	VV CD NN IN NN NN JJ NNS !ambulance/NN NN NN NN
labour	NNS NN !labour/NN NN NN NN
russco	VV CD NN IN !russco/NN NN NN JJ JJ NN NN NN
curl	VV CD NN IN JJ JJ NN NN !curl/VV NN
tempered	CD NN IN JJ NN !temper/VVN NN NN
$389.70	RB IN JJ !$389.70/NN
cu	VV CD NN RP IN NNS CD CD !cu/NN
grass	VV CD NN IN NN CD NN NN NN !grass/NN JJR CC NN
$19.99	!$19.99/NN IN NN NN
coupona	NNS NN NN JJ !coupona/NN
hatch	NNS !hatch/VV NN
throws	!throw/VVZ
$125	IN PP$ NN NN IN !$125/NN
100/	NN CD !@card@/CD CD CD NN NN NN IN NN
blonde	CD NN IN JJ NNS NN !blonde/JJ
mushroom	!mushroom/NN NN NN NN IN NN
$99.64	NN NN NN NN IN !$99.64/NN
41$	!41$/JJ IN NN NN NN
toastess	VV CD NN IN !toastess/NN NN NN
side	JJ !side/NN NNS NN NNS
toilet	JJ JJ !toilet/NN NN
k200	CD NN IN NN !k200/NN CC NN IN JJ NN
totsports	CD NN IN JJ NNS !totsports/NNS RB VVD NN NN
travis	VV CD NN IN NN !travis/NNS NN NN NN
trikes	!trike/NNS
truestay	VV CD NN IN JJ !truestay/NN JJ NN NN NN NN NN
%	VV CD !%/NN IN NN
ancestry	VV CD NN IN !ancestry/NN NP NN NN
bullet	CD NN IN NN !bullet/NN JJ NN
delectable	NN NN NN !delectable/JJ NN IN DT NN
kidkraft	CD NN IN !kidkraft/NN JJ NN
literature	VV RB TO CD NN IN JJ !literature/NN
$1,048	NN NN NN NN NN NN IN !$1,048/NN
coole	CD NN IN JJ JJ !coole/NN VVG NN
routers	CD NN IN NN !router/NNS CC NN NNS
storage	VV CD NN IN NN NN JJ NN NN NN !storage/NN
sharpie	CD NN IN !sharpie/NN JJ NN NN NN JJ
flash	NNS NN NN JJ !flash/NN NN
$14.49	SYM JJS SYM NN SYM JJ NN SYM IN JJ !$14.49/NN
trail	JJ NN JJ !trail/NN NN NN
tudors	VV CD NN IN DT !tudors/NNS
41094	VV CD NN IN NN NNS NN NN NN !@card@/CD
duragold	VV RB TO CD NN IN !duragold/NP NP JJ NN NNS
faith	VV CD NN IN !faith/NN JJ VVN NNS NN IN NN NNS
$1100	VV !$1100/NN IN JJS NN NN NN NN JJ NN NN NN
allergy	VV CD NN IN NN CD NN JJ NN JJ NN NN NN NN IN !allergy/NN CC NN
movies	JJ NN NN NNS !movie/NNS NNS NN
t55	CD NN IN NN NN !t55/NN NN
doctor	VV CD NN IN !doctor/NN WP
mesh	VV CD NN IN NN NN NN JJ !mesh/NN NN NN
hm	CD NN IN NN NN !hm/NN NN NN VVD
$349.00	VV JJ JJ NN CD NN NN NN NN IN !$349.00/NN
$0	NN NN PP VVZ IN !$0/NN
d.	VV CD NN IN JJ !D./NP NNS
export	CD NN IN NN JJ NN !export/NN
remington	VV CD NN IN !Remington/NP JJ NN NN
classics*	VV CD NN IN NNS JJ NNS CC CD !classics*/NN
fares	NN VV !fare/NNS IN NN
embroidery	CD NN IN NN JJ NN !embroidery/NN NN
household	VV NN IN NN IN JJ !household/NN NNS
library	NN NN !library/NN
mcmuffin	NN !mcmuffin/NN CC DT NN NN NN
supreme	VVZ !supreme/NN IN NN
maps	CD NN IN NN IN CD NNS NN NN IN NN !map/NNS
naidas	VV CD NN IN NN NNS !naidas/NNS NN
cole	JJ NN !cole/NN JJ VV
uggs	!uggs/NNS NN
cow	CD NN IN NN JJ NN !cow/NN NN NN VVD JJ JJ NN
$209.99	VVN NN NN NN JJ NN NN IN !$209.99/NN
$169	JJ NN NN NN NN IN !$169/NN RB
nationwide	VV RB TO CD NN IN JJ NNS !nationwide/JJ
ottomans	VV CD NN IN NN JJ VVN NNS NN IN NN !ottoman/NNS
sleeper	!sleeper/NN NN NNS
sort	VV CD NN IN JJ NNS !sort/NN NN NN JJ NNS NN VVD
voice-guided	NN NN !voice-guided/JJ NN NN NN
fisher-price-little	CD NN IN !fisher-price-little/JJ NNS NN NNS NN NN
american	!American/JJ NN NNS NNS
percussive	CD NN IN NN NN !percussive/JJ NN
prep	CD NN IN JJ JJ NN !prep/NN NNS
hammerstein	!hammerstein/NN NN CD NN IN NN NN NN VVG NN
connoisseur	NN !connoisseur/NN NN NN IN NP SYM DT NN
suspension	NN NN NN NN JJ NN VVN !suspension/NN IN NN
atmosphere/	!atmosphere//NN NN NP NN
lasagna	VV JJ !lasagne/NN NN
shark	VV CD NN IN JJ NN !shark/NN NN NN NN
cascades	!cascade/NNS VVD JJ NNS
butane	CD NN IN NN NN JJ JJ JJ JJ NN NN !butane/NN
guardian	CD NN IN NN NN !guardian/NN
sprinter	CD NN IN NN NN !sprinter/NN NN NN NN VVD
skateboard	VV CD NN IN NN !skateboard/NN
unknown	NN NN !unknown/JJ NN NN IN NN
foreo	VV CD NN IN !foreo/NN NNS JJ CD NN JJ NN
4.5	VV CD NN IN JJ JJ !@card@/CD NN NN NN
coca	DT JJ !coca/NN NN NN IN JJ NN
$14.99	CD MD VV IN !$14.99/NN
camper	CD NN IN NN !camper/NN NN
simpli-stik	VV CD NN IN NN NN !simpli-stik/NN RB IN CD NN NN JJR
6-pack	CD NN IN NNS NP !6-pack/JJ NN VVZ NN NNS
grind	CD NN IN NN DT !grind/VV NN NN NN NN
freezer	NN JJ !freezer/NN NN IN VVN NN
$12.79	CD NNS IN !$12.79/NN
companies	NN NN VVG NN !company/NNS JJ NN VVD JJ JJ VVN NN
geforce	NN !geforce/NN CD NN NN NN IN JJ
31l9c	VV NN !31l9c/JJ NN NN JJ NN NN JJR IN NN
kelsyus	CD NN IN !kelsyus/NN NN NN
action	CD NN IN JJ !action/NN NNS
pro­mo­tion	NN DT JJ JJ !pro­mo­tion/NN
monochrome	VV CD NN IN NN NN !monochrome/JJ JJ NN JJ NN
dynamic	VV CD NN IN NNS !dynamic/JJ NN NN
bowring	!bowring/VVG NN JJ NN
gnarlyfish	VV CD NN IN !gnarlyfish/JJ JJ NN IN NN CD JJ NN
$35	CD IN !$35/NN
bl201c	VV CD NN IN NN !bl201c/NN NN NN NN
burnished	!burnish/VVN NN
noon	NN NN !noon/NN TO NN NN
smith	!smith/NN NN NN VVZ IN NN
thousand	VV DT !thousand/CD NNS NP NP NP NN NN IN DT JJ NN
$299.97	!$299.97/JJ IN NN CD JJ CD NN NN IN DT NN
4+	CD NN IN NN !4+/JJ JJ NNS CD NNS
$899.94	NP CD NN IN !$899.94/NN
cc	VV !cc/NN NN NNS IN NN
trekker	CD NN IN NN !trekker/NN NNS NN NN
30-50	VV CD NN IN IN !@card@/CD NN IN NN NNS SYM CD NN IN JJ JJ NN
cia	CD NN IN NN !cia/NNS JJ NN
alloy	VV CD NN IN NN NN NN NN !alloy/NN NN NN
$188.77	NN NN IN !$188.77/JJ
10:00	CD IN CD !@card@/CD NN
ariels	VV CD NN IN NN NNS !ariel/NNS NN NN NN CD
already-on-sale	VV DT JJ CD NN IN !already-on-sale/JJ NNS
headphones	VV CD NN IN NN !headphones/NN
chocolatier	CD NN IN DT NP !chocolaty/JJR NNS SYM CD NN IN CD NN NNS SYM JJR NNS
razor	VV CD NN IN !razor/NN NN NN NN
12-inch	VV CD NN IN NN NN JJ !12-inch/JJ JJ NN
galactica	VV CD NN IN NN !galactica/NN
colourful	RB TO CD NN IN !colorful/JJ NN NN NN IN DT NN
wine	NN IN VVN IN CD JJ !wine/NN NNS CD NN IN NN
wonder	JJ NN NN NNS NNS NNS !wonder/VVP NN IN JJ NN IN CD RB
nexxtech	VV CD NN IN !nexxtech/NP NP NN CD NN NN
95	NNS NN !@card@/CD NNS NN NNS
buses	!bus/NNS
cyclonic	NN NN JJ !cyclonic/JJ NN NN
slub-knit	VV !slub-knit/NN NN IN NNS IN NN RB SYM IN CD NN IN JJ NNS
denon	VV CD NN IN !denon/NN NN
algot	VV CD NN IN DT !algot/NN NN
nozzles	NN !nozzle/NNS
sharp	!sharp/JJ CD JJ JJ NN IN NN
$749.99	NN IN !$749.99/NN
available	NN JJ VVP CD !available/JJ RB
3-wheeled	CD NN IN NN VVG !3-wheeled/JJ NN
chocoholics	VV CD CD NN IN !chocoholics/NNS NN NN NN
$200.00	NN CC VV DT NN IN PP$ NP NN IN !$200.00/NN
50-quart	CD NN IN NP !50-quart/NP VVN NN
165	VV CD NN IN NP CD NN JJ NN !@card@/CD JJ NN NN NN
feminine	VV NN IN DT CD NNS NN !feminine/JJ NN NN
publisher	JJ !publisher/NN NN
hoover	VV CD NN IN !hoover/NN NN JJ JJ JJ NN
chime	VV CD NN IN NN NN NN !chime/NN
qnd	NNS !qnd/VVD JJR
multi-focal	RB JJ IN !multi-focal/JJ NN NNS
u2713hm	NN NN !u2713hm/NN CD NN NNS VVD NN IN NN
motherboard	NN CD NN NN NN !motherboard/NN IN NN
furnace	VV CD NN CD NN IN JJ !furnace/NN NNS
trainer	VV CD NN IN NN NN NNS VVP NN NN !trainer/NN
hurt	NN !hurt/VVD NN NNS
accuweight	VV CD NN IN !accuweight/JJ JJ NN NN NN
wool	VV CD NN IN NN NN !wool/NN NNS
curtains	VV CD NN IN JJ VVN !curtain/NNS IN NN NN SYM JJ CD NN IN NNS
fans	CD NN IN NN NN !fan/NNS IN JJ CC JJ
black+decker	!black+decker/NN CD NN NN NN
griddle	CD NN IN NN JJ !griddle/NN
toy-boxset	VV CD NN IN DT NN IN DT NN NN JJ !toy-boxset/NN
enterto	!enterto/NN VV CD IN CD JJ JJ NN NN
439	!@card@/CD NN
elements	VV CD NN IN NN NN !element/NNS
skye	JJ NN IN DT CD NN NN !skye/NN NN JJ NN NN
$68.99	NN IN !$68.99/NN
medicine	!medicine/NN NN
multi-sport	CD NN IN NN NN CD !multi-sport/NN NNS NN
washer	CD NN IN NN NN JJ NN !washer/NN
tomb	VV CD NN IN NN IN DT !tomb/NN NN NN CD
13	NN !@card@/CD
fireplace	CD NN IN JJ NN VV !fireplace/NN
tales	VV CD NN IN NN NN NN !tale/NNS NN JJ NN
diapering	CD NN IN !diaper/VVG
aspen	CD NN IN !aspen/JJ NN DT NN JJ NN NN NN
gelpac	NN CC !gelpac/NN CC NN NNS
$66.79	JJ JJ JJ NN IN !$66.79/NN
collapsible	VV NN NNS !collapsible/JJ JJ JJ NN NN IN NN
150th	NP NN NNS !150th/JJ NN NN
$64.59	IN !$64.59/NN
farscape	VV CD NN IN !farscape/NN
sale	NNS NN NN JJ NN !sale/NN
lexar	VV CD NN IN !lexar/JJ JJ NNS
saw	CD NN IN NP NP NN NN NN VVG !saw/NN NN
robax	!robax/NN NN NN
hd	CD NN IN NN !hd/NN NN
t6.5s	VV NN IN NN !t6.5s/NNS NN
yucatan	!yucatan/JJ NN CC NNS JJ NN NNS
$89	NN !$89/NN
contain	VV CD NN IN IN NN NN !contain/VVP NN NN CD
pint	VV CD NN IN JJ CD !pint/NN NN
glam	CD NN IN NN !glam/NN NN
$2,000	PP MD VV CD IN CD !$2,000/NN NN NN
a6	VV JJ CD NN IN NN CD NN DT IN CD !a6/NN CD NN CD NN NN IN JJ NN
newair	VV CD NN IN !newair/JJ JJ JJ JJ JJ NN NN
powertouch	VV CD NN IN JJ !powertouch/NN JJ NN
gain	CD NN IN !gain/NN
stor	IN !stor/NN
pink-20	!pink-20/NN
toysrus	!toysrus/NN NN NN
inspirations	VV NN IN NN IN DT JJ NN JJ !inspiration/NNS
high-speed	VV CD NN IN JJ NN !high-speed/JJ
scary	NN NN NN !scary/JJ JJ NNS
rubys	!rubys/NNS NN NN IN RB JJ
nivea	!nivea/NNS
$37.00	IN RB !$37.00/JJ
french	CD NN IN DT NN NN !French/NN NN
5-inch	VV CD NN IN NN NNS !5-inch/JJ JJ NN NNS NN
a4s	VV CD NN IN JJ !a4s/NNS JJ NN NN
$109.95	!$109.95/JJ NNS NN CD JJ NN NN NN IN CD NN
whiz	NN !whiz/NN CC NN NN
wonderbra	!wonderbra/NN
gorgeous	VV DT !gorgeous/JJ NN IN NN
genji	CD NN IN !genji/NN NNS VVP RP NN NN NN CC NN NN
unique	VV CD NN IN NN NN JJ NN NNS IN !unique/JJ JJ NN VV
46,000	VV CD NN IN NN NN !@card@/CD NN JJ NN NN
tylenol	!tylenol/NN NN NNS
j-deal	VV CD NN IN !j-deal/NN RB VVN JJ FW JJ JJ NN NN
trimmer	NN !trim/JJR CC NN NN NN
orbital	CD NN IN NNS NN JJ !orbital/NN NN
fun-in-the-sun	VV CD NN IN NNS NN SYM !fun-in-the-sun/JJ NN SYM JJ CD NN IN NP NN NN
needs	RB TO NN IN NNS IN PP$ NN CC NN !need/NNS
dads	NN NN !dad/NNS
daytime	VV DT NNS VVP NN CC !daytime/JJ NN NN IN NN WRB PP VVP IN NN
$119	DT NN NN IN RB !$119/JJ CC JJR
conair	CD NN IN !conair/JJ NN NN VVD NN NN
collision	VV NN IN JJ JJ !collision/NN NN IN JJ NN
mafia	VV CD NN IN !mafia/NN NNS NN CD NN NN
prepac	CD NN IN !prepac/JJ NN VVG NN
2-quart	VV CD NN IN NP CD NNS JJ JJ CD !2-quart/JJ NN IN NN
pile	NN NNS !pile/VVP IN DT NNS NP NN NN
17-piece	NN !17-piece/JJ JJ JJ NN NN
bulova	!Bulova/NP
caandas	!caandas/NNS NN NN NN IN JJ NN NNS CD
polder	VV CD NN IN DT JJ !polder/NN NN NN
cereal	CD NN IN NNS NN NNS !cereal/NN JJ JJ NN
el	VV NN IN !el/NN NP CD
$63.99	DT JJ NN NN VVG IN !$63.99/NN
trains	CD NN IN NN NN !train/NNS
target	!target/NN NN NNS
gitch	VV PP$ JJ !gitch/NN NN
emnes	NNS !emnes/NNS VVD NN IN CD NNS IN NN
vacuum	VV CD NN IN NN NN JJ JJ JJ !vacuum/NN
graphics	!graphics/NNS
anker	VV CD NN IN !anker/JJR NN VVG NN
enree	VV NN IN DT NN !enree/NN
eyeshadow	JJ JJ NN NNS JJ JJ !eyeshadow/NN NN
8a	CD NN IN JJR JJ !8a/JJ JJ NN NN
4.0	VV JJR NN NN !@card@/CD JJ NN NN IN NN
moisture	CD NN IN JJ NNS !moisture/NN NN SYM NN NN
smoke	CD NN IN NN VV !smoke/NN
o	CD NN IN NNS NN !o/NN NN NN VV
rainstick	CD NN IN NNS NN NN NN !rainstick/NN VV
yogourt	VV NN IN NN IN NNS NN IN NN !yogourt/NN IN NN
up	VV !up/RB TO CD NN IN JJ NNS
$1,800	VV !$1,800/NN IN NNS
bt55g	VV CD NN IN JJ !bt55g/NN NN NN NN
easy@home	VV !easy@home/NN NNS NN JJ NN NN NN NN IN NN
bodysuits	!bodysuits/NNS SYM IN RB TO CD NN IN RB VVN NN
position	VV CD NN IN NN CD NN JJ NN JJ !position/NN NN NN NN IN NN CC NN
silencer	VV CD NN IN NNS NN !silencer/NN NN
bambi	CD NN IN !bambi/NN NN
csi	VV CD NN IN !csi/NN
gamble	!gamble/NN NNS NNS NN
fairy	JJ NP CD VVD JJ JJ JJ JJ VVN JJ !fairy/NN NNS
$30	VV NN IN DT !$30/JJ NN
hand-held	VV CD NN IN JJR !hand-held/JJ JJ NNS SYM JJ CD NN NP NN
raspberry	NP NP JJ !raspberry/NN JJ JJ NN
chomp	CD NN IN NN !chomp/NN CC NN NN
esperta	VV DT CD NNS IN FW NN NNS VVP DT FW NN !esperta/NNS VVP VV NN NN RB
fixman	!fixman/NN NN NN
multimedia	VV NN CD !multimedia/NNS NN IN NN IN NN
caramilk	JJ NN !caramilk/NN VVD JJ NN IN JJ NN
claw	CD NN IN NN NN NN !claw/NN JJ NN NN NN
semi-automatic	VV NN IN NP !semi-automatic/JJ NN NN
grandparents	NN NN !grandparent/NNS NN NNS
1-5	VV CD NN IN JJ NN NNS !@card@/CD
adobe	VV CD NN IN !adobe/NN NN NNS
ttc	DT JJ !ttc/NN VBZ JJ
accessory	VV JJ JJ NN NN !accessory/JJ
hotel	VV CD NN IN !hotel/NN NN NN NNS
rory	VV CD NN IN NN !rory/JJ JJ JJ NN
whitening	VV CD NN IN JJ NN NN !whiten/VVG NP CD
fees	NP NP MD VV JJ NN !fee/NNS
girly	JJ !girly/JJ NNS NN
can	CD !can/MD VV IN NN
packs	VV DT JJ NN NN WRB PP VVP CD !pack/NNS IN JJ NN
$0.69	VV NN JJ NN NN NN NN JJ NN NN IN JJ !$0.69/NN SYM JJ NN
rolf	!rolf/NN NN SYM JJ JJ NN
orders	JJ NN IN DT !order/NNS
traning	NN IN NNS NNS NN !traning/NN NNS
one-touch	RB JJ IN NN !one-touch/NN NN NN SYM JJ NN
suspect	VV CD NN IN JJ !suspect/JJ JJ NN NN
fab­u­lous	NN DT JJ !fab­u­lous/JJ NN
boston	!boston/NN NN NN NNS
annke	VV CD NN IN !annke/NP JJ NN NN NN NN NN
wearing	JJ NN NN IN !wear/VVG PP$ NN
aquatronic	NN CD JJ NN !aquatronic/JJ JJ NN IN NN
lifter	CD NN IN JJ NN NN NN MD NN IN NN !lifter/NN NN
without	VV CD NN IN RB JJ JJ NN CD JJ NNS !without/IN NNS
sweatshirts	DT !sweatshirt/NNS
300gb	JJ JJ NN !300gb/JJ JJ NN IN NN
activewear	VV CD NN IN !activewear/NN
traction	JJ !traction/NN NNS IN NN
saddle	NN NN NN !saddle/NN JJ NN VVN NN IN NN
savannah	VV CD NN IN NN NN NN CD NN NN !savanna/NN NN
tempgun	CD NN IN NN NN !tempgun/NN NN
capri	NN NN !capri/NN NN JJ IN JJ IN $ CD
tunnel	NN JJ NN JJ JJ NN !tunnel/NN
cartridges	CD NN !cartridge/NNS
toothbrush	CD NN IN JJ NN JJ !toothbrush/NN
petsmart	!petsmart/NN
500pcs	VV CD NN IN JJ NN NN VVN !500pcs/NP JJ NN NN
hisense	!hisense/NN NN
1-year	VV CD IN CD NN NNS CC CD IN CD NN JJ NN NNS IN DT !1-year/JJ NN IN NN NN NNS
fill	CC !fill/VV PP RP IN IN JJ NN IN PP VVP IN NN
stansport	VV CD NN IN !stansport/NN NN NN
docs	CD NN IN NN NN VVZ !doc/NNS VV CC VV NN NN
apu	JJ JJ !apu/NN JJ NN IN NN
copter	CD NN IN NN NN NN !copter/NN
64	VV !@card@/CD NN IN NN NN JJ NN NN
pail	VV NN !pail/NN NN NNS
purex	VV NN IN DT !Purex/NP JJ NN NN NN
v2	VV CD NN IN NN NN NN !v2/NN
keeping	VV CD NN IN !keep/VVG RP NNS
piccard	CD NN IN NP !piccard/NN NP NN
reg-priced	VV CD NN IN JJ !reg-priced/JJ NNS
vaio	VV RP TO NN IN !vaio/NN NNS
level	NN NN NN !level/NN CD NN
stations	CD NN IN NN VVG !station/NNS
snowboarding	NN NN !snowboard/NN VVZ IN NN
1300-watt	VV CD NN IN JJ NN !1300-watt/NP JJ
me	JJ !me/FW CD NN IN JJ NN IN CD RB
wacom	!wacom/NN NN NN IN NN IN NN
electric	JJ !electric/JJ NN NN IN NN
flamen	CD NN IN !flamen/NN CD NN JJ NN JJ JJ NN NN
frosted	!frost/VVD JJ JJ NN
leons	!leons/NNS VVP
sage	CD NN IN !sage/NN CD NN VVG CD JJ NN
console	JJ JJ NNS JJ NN !console/VV JJ IN NN IN JJS VV NN
$84	NN IN !$84/NN
armchair	NN !armchair/NN IN NN
braun	VV CD NN IN !braun/NN
irresistibles	!irresistibles/NNS NNS NNS NN CD VVP CD JJ
xiao	VV !xiao/NN NN NN NN NN NN NN IN NN NN NN JJR CC NN NN IN NN
cracker	VV JJ IN NN NNS CC JJ IN !cracker/NN NNS
best	!good/JJS VVP
$22.98	CD MD VV IN !$22.98/NN
dane-elec	VV CD NN IN !dane-elec/JJ JJ NN NN NN
lightspeed	VV CD NN IN !lightspeed/NN RB JJ NN NN NN
rgb	CD NN IN JJR !rgb/NN VVD JJ NN
forever	!forever/RB CD NN NNS
xmas	JJ JJ NN NNS NNS IN !xmas/NNS NNS
friends	NN NN !friend/NNS
gardenhome	CD NN IN !gardenhome/JJ JJ JJ NN NN NN
n0	VV JJ NN IN !n0/JJ NN
klik	!klik/NN NN NN IN NN JJ
raymond	CD NN IN NN VVZ !raymond/JJR
foogo	CD NN IN NN !foogo/NN NN VVN JJ NN JJ NN NN
get	!get/VVP CD JJ
dryvacuum	VV CD NN IN NN JJ !dryvacuum/NN
kawasaki	JJ NN NNS !Kawasaki/NP NP NN
sdeals	NN NN NN !sdeals/NNS
asics	NP !asics/NNS VVG NN
$1.25	NN !$1.25/NN CC JJR
aids	JJ NN !aid/NNS IN NN
habanero	JJ !habanero/NN NN NN
nursery	VV CD NN IN JJ JJ NN !nursery/NN
stylexchange	!stylexchange/NN
thunder	CD NN IN NN JJ !thunder/NN VV NN
sheet	VV CD NN IN NN NN !sheet/NN NNS
cheese	VV NN CC !cheese/NN
centurion	VV CD NN IN NN NN JJ !centurion/NN NN
ec	VV CD NN IN !ec/NN NN JJ NN NN
nightmare	VV CD NN IN DT !nightmare/NN IN NN NN NN
ncis	CD NN IN !ncis/NNS
criminal	VV CD NN IN !criminal/JJ NNS
sensodyne	NN NN !sensodyne/NN VVG NN NN IN JJ NP
bt	VV CD NN IN NN NN NN !Bt/NN NN
krown	!krown/NN
v1.4	!v1.4/JJ NN NNS IN NN
syntia	VV CD NN IN NN !syntia/NN NN NN
bissell	CD NN IN JJ !bissell/NN NNS
where	JJ NNS CC !where/WRB TO VV PP IN JJ NN
stainless-steel	VV CD NN IN NN IN CD NN JJ JJ NN IN CD JJ !stainless-steel/JJ NN
30$	VV !30$/JJ NN IN NNS NNS NN NN NN
ventilated	CD NN IN NNS !ventilate/VVD NN NN SYM JJ NN IN DT NNS
closed-type	VV CD NN IN JJ NN !closed-type/NN NN
derlson	CD NN IN !derlson/NN NN NN
26th	NN !26th/JJ
capsule	VV CD NN IN NN NN !capsule/NN NN NN
simple	VV CD NN IN NN !simple/JJ NNS JJ JJ NN NN
fallsview	NN NN NN !fallsview/NN NN NN IN NN
tray	VV CD NN IN NN NN NN !tray/NN
potatoes	NNS JJ !potato/NNS IN NN
holista	CD NN IN !holista/NN
akribos	CD NN IN !akribos/NP NP NN NN
carryall	DT !carryall/NN NN IN RB JJ CC JJR
f.	JJ JJ !f./NN NNS NNS
160	NN CD !@card@/CD NN VV IN NN
41106	VV CD NN IN NN NNS !@card@/CD NN NN NN NN NN NN
upkj	VV CD NN IN RB !upkj/NN NNS NN NN
marios	JJ NN !marios/NNS NN NNS
beavertails	VV CD CD NN IN !beavertails/NNS NN NN NN
coordinate	VV CD NN IN NN !coordinate/VV NN
ls6.0r	NN !ls6.0r/NN JJ NN NN IN NN
artist	VV CD NN IN JJ NP NN !artist/NN JJ NN
barbie	VV CD NN IN !barbie/NN NN NN
coloured	VV CD NN IN JJ JJ JJ !colored/JJ NN NN
favourites	JJ NN NN !favourite/NNS NNS NNS NN
loft	CD NN IN NN !loft/NN NN NN NN
nose	VV CD NN IN NN JJ NNS NN NN JJ !nose/NN NN NN NNS IN NN
plug-in	VV CD NN IN JJ JJ NN NN !plug-in/NN NN IN NN NN
kenneth	JJ !kenneth/NN NN JJ VV
pharmaplus	NN !pharmaplus/NN NN NNS
ldesign	!ldesign/JJ NP CD VVD JJ JJ JJ JJ VVN JJ NN NNS
tr-330	VV CD NN IN NN NN NN !tr-330/NN NN
every	JJ NN !every/DT NN VVG NN NN NN
carry-on	VV NN NN NN CD NN JJ !carry-on/NN NN
pleat	VV CD NN IN JJ NN NN JJ JJ NN !pleat/NN JJ NN NN NN NN
recon	VV CD NN IN JJR NN !recon/NN NN CD
control	VV CD NN IN NN NN !control/NN NN
$32.50	CD IN NN CC CD IN !$32.50/NN
fidelio	NP !Fidelio/NP JJ NN IN NN
adrien	VV CD NN IN !Adrien/NP NP
decline	CD NN IN JJ !decline/NN NN
k-cup	VV NN IN DT CD NNS IN !k-cup/NN NNS
shypro	JJ NN !shypro/NN JJ NN CC NN NN
$299	RB !$299/JJ
$11on	VV !$11on/NN VVZ NN CC NNS
barkin	CD NN IN JJ NNS JJ JJ NN DT !barkin/NN NN
$57.05	VVG JJ NP JJ NN IN !$57.05/NN
3-port	VV CD NN IN !3-port/JJ NNS VVP NN NN IN JJ NN
frrr	!frrr/NP NP NN IN NN
prescot	CD NN IN NP NP !prescot/NN NN IN DT NN
purfresh	JJ !purfresh/NN NNS VVG NN
bk	VV CD !Bk/NN JJ NN IN JJ NN
