#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
adler	VV NN !adler/NN NN JJ NN JJ NN NN IN NN NN
admiral	VV CD NN IN JJ JJ !admiral/NN NN NN JJ NN NN NN
admission	JJ !admission/NN IN NN
admit	VV CD JJ NN NN !admit/VVP CD NNS
adobe	VV CD NN IN !adobe/NN NN NNS
adonis	!adonis/NN NN
adora	CD NN IN !adora/NN NNS NN NNS VVP NN
adrien	VV CD NN IN !Adrien/NP NP
adult	VV NN IN CD !adult/NN NN NNS
adults	VV CD NN IN NNS CC NNS NN NN IN !adult/NNS
advance	VV CD NN IN NN !advance/NN NN JJ CD NN NN NN
advanced	VV CD NN IN JJ !advanced/JJ NN VVG CC NNS JJ NNS
advantage	VV !advantage/NN IN JJ NNS IN NN RB IN NN
advent	NN NN TO NNS JJ !advent/NN NN IN NN
advent-ures	VV CD NN IN DT NN NN CD NNS IN NN VVG !advent-ures/NNS JJ NN NN
adventure	VV CD NN IN NN NNS !adventure/NN NN NN NN NN NN
adventures	DT JJ !adventure/NNS
advertisments	PP JJ NN NN !advertisment/NNS
advil	VV NN IN NN IN !advil/NN NNS
ae	IN !ae/NNS
aeo	VV CD NN IN PP$ JJ NN IN !aeo/NN
aerie	!eyrie/NN NN NN NN
aerius	!aerius/NP NP NN
aero	!aero/NN
aeroccino	CD NN IN NN NN NN IN !aeroccino/NP CD
aerogarden	VV CD NN IN NN !aerogarden/NN NN NN
aeropostal	!aeropostal/JJ NN
aeropostale	!aeropostale/JJ NN NNS
aerosoles	!aerosoles/NNS
af	NN !af/NNS JJ NP NN JJ NN IN NN
affairs	VV RB TO CD NN IN NNS CC JJ !affair/NNS
after	!after/IN NN
afternoon	JJ NN VVZ NN !afternoon/NN IN NNS NP CC JJ NN
again	DT JJS NNS IN DT CD NN NN NNS VBP RB !again/RB
against	VV CD NN NN CC CD NNS NNS TO NNS NN !against/IN DT NN VVZ
agatha	!agatha/NN NN NN NNS VVG IN NN
age	VV CD NN IN NN !age/NN NN
agent	VV CD NN IN NN NN NN NN JJ !agent/NN NN
ages	NN IN !age/NNS
ahead	VV JJ NN IN PP$ JJ CC VVP !ahead/RB VV RP NN IN JJ NN IN NN
ahmm200	VV CD NN IN NN !ahmm200/NN NN NN NN NN
ahoy	!ahoy/NN
aicok	VV CD NN IN !aicok/NN NN CC NN NN SYM JJ NN NN IN DT JJ CD NN RP
aids	JJ NN !aid/NNS IN NN
air	VV CD NN !air/NN NNS SYM CD NNS NNS SYM IN NN IN JJ NN
airbac	!airbac/NN NN NN
airbed	VV CD NN IN NN NN !airbed/NN
aircraft	VV CD NN IN NN NN CC NN !aircraft/NN
airdyne	VV CD NN IN NP JJ !airdyne/NN NN NN
airfare	VV JJ !airfare/NN IN CD
airfares	VV CD NN IN NN !airfare/NNS
airfloss	VV CD NN IN JJ NN !airfloss/NN JJ JJ JJ JJ NN
airfryer	CD NN IN JJ !airfryer/NN
airline	NN !airline/NN NN CD NNS NN
airlines	NN !airline/NNS NN NN
airplane	VV CD NN IN JJ JJ NNS NP NNS !aeroplane/NN
airpod	VV NN !airpod/NN NN VVZ IN NN IN NN
airport	VV CD NN IN JJ JJ NNS VVG NNS !airport/NN NN NN
air­lines	NN !air­lines/NNS NN NN NNS
aith	IN DT JJ NN !aith/NN NN
akg	!akg/NN NN NN IN JJ
akribos	CD NN IN !akribos/NP NP NN NN
al	VV IN NN IN NN IN !al/NP JJ NN
alactel	JJ !alactel/NN NN IN JJ NN RB
alamere	NN IN RB !alamere/JJ JJ JJ NN NN NN SYM NP NNS TO VV JJ JJ NN IN PP$ JJ NN
alarm	JJ JJ NN NN NN !alarm/NN IN NN
alarms	!alarm/NNS SYM JJ JJ NN CD NNS
alba	VV CD NN IN !alba/NN NN NN NN NP
alberta	!Alberta/NP
album	CD NN IN JJ NN NN JJ NN !album/NN
alchemist	NN NN NNS VVP VV CD NN JJ !alchemist/NN DT JJ NN
aldo	!Aldo/NP NP NN
alert	NN NN JJ NN !alert/NN
alerts	NN !alert/VVZ
aleve	!aleve/JJ JJ NNS
alex	VV CD NN IN JJ !alex/NN NNS
alexa	NN IN JJ !alexa/NN
alexa-enabled	!alexa-enabled/JJ JJ NN NN NN IN NN
alf	VV CD NN IN !alf/NN
alfred	VV CD NN IN !Alfred/NP NN
algot	VV CD NN IN DT !algot/NN NN
alia	!alia/NP NN NN JJ
alien	CD NN IN !alien/JJ NN NN
alive	VV CD NN IN NN !alive/JJ JJ NN NN
alkaline	CD NN IN NN NN NN !alkaline/JJ NNS
all	VV CD NN IN !all/DT NNS
all-bran	JJ NN IN !all-bran/JJ NN NN CC JJ NN
all-clad	VV CD NN IN !all-clad/JJ CD
all-in	VV CD NN IN NN NN !all-in/JJ CD NN NN
all-in-1	CD NN IN NN !all-in-1/JJ VVG NN
all-in-one	VV CD NN IN NN NN !all-in-one/JJ NN NN
all-leather	VV RB TO CD NN IN !all-leather/JJ NN NN
all-one	NN NN NNS NNS VV CD NN IN NN NN JJ !all-one/JJ NN NN
all-stars	NN !all-stars/NNS NN NN IN NN
all-weather	VV CD NN IN NN JJ !all-weather/JJ CC NN NN
all-you-can-eat	!all-you-can-eat/JJ NN IN NN
allen	CD NN IN !allen/JJ NNS JJ NN
allenby	NNS NN !Allenby/NP NP NN NN VVN IN NP SYM CD NN JJ NN SYM JJ CD NN CD NN IN NP NN
allergen	VV CD NN IN JJ JJ !allergen/NN NN NNS
allergy	VV CD NN IN NN CD NN JJ NN JJ NN NN NN NN IN !allergy/NN CC NN
alloy	VV CD NN IN NN NN NN NN !alloy/NN NN NN
almay	VV NN IN DT !almay/NN NN
almond	VV NN IN DT !almond/JJ JJ NN
almond+	VV CD NN IN NN !almond+/NN JJ NN NN NN NN NN NN
almonds	NN NN VVN !almond/NNS
almost	VV DT JJ CD NN IN !almost/RB NN
aloe	VV CD NN IN NN JJ NN !aloe/NN CC NN JJ NN NN NN
alone	RB !alone/RB IN JJ NN
along	VV CD NN IN NN PP$ NN !along/IN CD NNS NN
alpha	CD NN IN NN JJ !alpha/NN NN NN
alphabet	VV CD NN IN NN NN JJ !alphabet/NN NN IN JJ NN
alpine	VV CD NN IN NN !alpine/JJ JJ NN NN
alps	CD NN IN !alp/NNS VVG NN NN
already	VV DT JJ CD NN IN !already/RB VVN NNS
already-discounted	VV DT JJ CD NN IN !already-discounted/JJ NNS
already-on-sale	VV DT JJ CD NN IN !already-on-sale/JJ NNS
already-reduced	VV DT JJ CD NN IN !already-reduced/JJ NN
alta	VV CD NN IN JJ !alta/NN NN NN
altec	CD NN IN !altec/JJ NN NN NN NN NN
alternative	VV CD NN IN NN JJ NN IN !alternative/JJ VVN NN
aluminium	VV CD NN IN NN NN NN !aluminium/NN NN NN NN
aluminum	VV CD NN IN NN JJ JJ !aluminium/NN JJ NN NN
always	NN IN !always/RB
am	NN CD IN CD !be/RB
am/	VV CD NN IN JJ NNS NN NN NN NN NN IN !am//JJ NP NN
am3+	NN CD NN NN !am3+/NN NN IN NN
amaluna	NN NP NN !amaluna/NN
amanda	RB TO CD NN IN NN NN NNS IN !amanda/NN VVD
amaze	CD NN IN NN NN !amaze/VV JJ NN CC VV NN
amazing	NN NN !amazing/JJ NN NN
amazon	!amazon/NN NN NNS NNS
amazonbasics	CD NN IN JJ !amazonbasics/NNS NN NN VVZ
ambiance	JJ RB JJ SYM CD IN CD NN NN NN SYM CD IN CD !ambience/NN NNS
ambulance	VV CD NN IN NN NN JJ NNS !ambulance/NN NN NN NN
amd	VV CD NN IN !amd/JJ NN CD NN NN
amelia	VV RB TO CD NN IN !amelia/NN NN
america-advanced	VV CD NN IN NN NNS RB !america-advanced/VVN NN JJ NNS
american	!American/JJ NN NNS NNS
americans	CD NN IN DT !American/NNS NN CD
amherst	CD NN IN NP !Amherst/NP NN NN
amiibo	VV CD NN IN NN NN !amiibo/NN NN VVG NN NN
amish-made	VV CD NN IN NN !amish-made/JJ NN NN NN
amlogic	VV CD NN IN NP JJ NN NN !amlogic/JJ NN NN NN NN JJ NN CD NN NN JJ NN VVD
amope	VV CD NN IN !amope/NN JJ NN NN
amore	NNS !amore/NP NN IN NNS NN
amp	VV CD NN IN JJ CD !amp/NN NN NN NN
amplification	VV CD NN IN NN FW JJ !amplification/NN JJ NN
amscope	CD NN IN JJ !amscope/NN NN NNS CC NNS
an	VV !an/DT JJ CD NN IN NN NNS
anais	VV CD NN IN NP SYM !anais/NN
analgesic	JJ NN NN NN NN !analgesic/JJ
analog	VV NN IN NN NP NP !analogue/JJ NN NN IN NN
anarchy	VV CD NN IN NNS IN !anarchy/NN
anastasia	!anastasia/NN JJ NNS SYM DT JJ CD NN RP IN NP NN
ancestry	VV CD NN IN !ancestry/NN NP NN NN
anchor	VV CD NN IN NN !anchor/NN VVG NN NN VVN IN JJ NN
anchors	VV CD NN IN JJ NNS !anchor/NNS RB VV NN
and	NP NP JJ NN NNS !and/CC NNS IN NN CD
and/	NN NN JJ NN !and//NN CC NN NN CC NNS NNS
anderson	VV CD NN IN NN !anderson/NN NN IN NN
andrew	VV CD NN IN !andrew/NN NN IN NNS
andriod	VV CD NN IN NN NN NN !andriod/NN CD NN NN NN
android	VV CD NN IN NN NN JJ NN !android/NN NN NN SYM CD NN IN NN NN NN SYM JJ NN NN IN DT JJ CD NN RP
andy	CD NN IN DT !andy/JJ NN NN
aneken	VV CD NN IN NN NN !aneken/NP NN CD NN JJ NN
anextra	VV !anextra/NNS CD NN RB SYM JJ NN IN DT NNS VVG NP NN
angel	VV CD NN IN VVN IN DT !angel/NN
angelique	VV CD NN IN DT !angelique/NN SYM VVZ IN NN
angels	CD NN IN NN NP JJ !angel/NNS NN NP JJ NN
angle	VV CD NN IN NP CD NN JJ NN CD JJ !angle/NN NN NN
angry	VV CD NN IN NN !angry/JJ NNS JJ NN NN NN NN
angus	VV JJ JJ NN NN JJ !angus/NN NN SYM NN JJ NN NNS
animal	VV CD NN IN JJ NNS !animal/NN NNS VVG NN
animals	VV CD NN IN JJ NN VV NN NN VV CC VV CD JJ JJ !animal/NNS
animated	CD NN IN NN DT !animated/JJ NN
anime	NN VV CD NN IN JJ !anime/NN NNS
anjou	VV CD NN IN !anjou/NN NN NNS
anker	VV CD NN IN !anker/JJR NN VVG NN
ankle	NN !ankle/NN NNS
anklestrap	VV NN NP NP !anklestrap/NN JJ NN NN
anna	VV CD NN IN NP JJ !anna/NN NN NN
annabelle	CD NN IN !annabelle/NN
anne	VV CD NN IN NN NNS IN !anne/NN NN
annettes	VV CD !annettes/NNS NNS VVP PP JJ
anniversary	JJ !anniversary/NN NN
annke	VV CD NN IN !annke/NP JJ NN NN NN NN NN
annual	NN NNS NN NN !annual/JJ NN
annuals	VV NN WRB PP VVP DT NN NN !annual/NNS
anodized	VV CD NN IN NN JJ JJ !anodize/VVN NN JJ NN NN
anodized-ceramic	NN NN JJ !anodized-ceramic/JJ JJ NN
another	DT JJ NN IN JJ !another/DT NN
anova	VV CD NN IN !anova/NN NN NN NN
antenna	CD NN IN JJ JJ NN !antenna/NN
anthology	VV CD NN IN JJ !anthology/NN
anti	!anti/JJ NN NN NN NN NN
anti-aging	JJ NN NN !anti-age/VVG NN NN
anti-bac	CD IN NP SYM CD JJ IN !anti-bac/JJ NNS
anti-bacterial	VV CD NN IN JJ NN NN CC !anti-bacterial/JJ NN JJ JJ NN NN
anti-colic	VV CD NN IN NNS NN JJR TO NN !anti-colic/JJ NN NN
anti-fatigue	NN IN NN !anti-fatigue/NN NN
anti-fog	!anti-fog/NP
anti-perspirant	VV NN IN PP$ NN IN DT VVD !anti-perspirant/NN
anti-theft	NN NN VVG NN !anti-theft/NN NN NNS
anti-wrinkle	VV DT JJ CD NN NN IN !anti-wrinkle/JJ NN NNS
antibacterial	VV DT JJ !antibacterial/NN NN NN
antimicrobial	CD NN IN NN !antimicrobial/JJ JJ NN NN
antiperspirant	VV NN IN JJ !antiperspirant/NN CC JJ NNS NN
antique	VV CD NN IN JJ NN !antique/JJ NN NN VVG NN NN
antojitos	JJ !antojitos/NNS
any	VV NN IN !any/DT JJ NN
anystream	VV RB TO CD NN IN NN !anystream/NN NN JJ NN IN VVN NN
anything	VV DT JJ CD NN IN RB !anything/NN
aoc	!aoc/NN
apes	VV CD NN IN NN IN DT !ape/NNS NN NN NN
apetizers	CD !apetizers/NNS
apex	NN NN NNS NNS VV CD NN IN !apex/NN NN NN VVP NN
apocalypse	VV CD NN IN NN !apocalypse/NN
app	NNS VVD PP$ NNS !app/VVG JJ NNS
app-enabled	JJ NN NN NNS NN !app-enabled/JJ NN
appaliances	CC RB TO CD NN IN JJ JJ !appaliances/NNS
apparel	!apparel/NN
appearances	VV CD NN IN VVG RP !appearance/NNS
appetit	VV CD NN NNS IN DT NN VVN IN NN !Appetit/NN NN NNS
appetizer	CD !appetizer/NN
appetizers	JJ !appetizer/NNS JJ IN JJ NNS IN NN
appitizer	VV CD NN NN NNS SYM CD !appitizer/NN SYM CD NN IN NN IN NN
apple	!apple/NN NN
apple-rhubarb	VV NN IN NP !apple-rhubarb/NP CC NP NN NN
applebees	!applebees/NNS NNS JJ NN NN IN NNS CC JJ NN NN NNS NNS
applesauce	NNS NN JJ !applesauce/NN
appliance	CD NN IN JJ !appliance/NN
appliances	CD NN IN JJ !appliance/NNS
application	VV NN RP IN NN JJ NN !application/NN
apply	VV DT JJ NN NN NN WRB PP !apply/VVP IN DT NN NN NN
appreciation	NN NN !appreciation/NN NN
apps	CD JJ NNS !apps/NNS CC NNS
apramo	!apramo/NN NN NN NN IN NN
apricot	VV CD NN IN DT NN NN !apricot/NN NN JJ NN
april	!April/NN CD
apu	JJ JJ !apu/NN JJ NN IN NN
aqua	VV CD NN IN JJ JJ NN NN VV JJR !aqua/JJ NN
aquadiver	VV CD NN IN VVG JJ NP !aquadiver/NN NN NN NN
aquafina	JJ JJ !aquafina/NN NN
aquamarine	NN !aquamarine/NN NN NNS JJ JJ NN IN NN VVN
aquarium	VV IN NN CD NN IN NN NNS !aquarium/NN
aquarius	VV CD NN IN NN !aquarius/NN JJ NN NN
aquatec	VV CD NN IN NNS CC !aquatec/JJ JJ
aquatronic	NN CD JJ NN !aquatronic/JJ JJ NN IN NN
arbys	!arbys/NNS NN NNS
arc	VV CD NN IN JJ JJ NN NN IN JJ NN !arc/NN JJ CD JJ
arc-14s	VV CD NN IN NN !arc-14s/NNS CD NN JJ NN JJ NN NN
arch	CD NN IN JJ NN NN NN NN NN NN !arch/NN
archambault	!archambault/NN
archer	VV CD NN IN NN !archer/NN NN NN JJ NN NN NN NN
architect	VV CD NN IN JJ JJ !architect/NN NN
architectural	NN !architectural/JJ NN NNS
architecture	VV CD NN IN NN !architecture/NN DT NN NN
archy	VV CD NN NN !archy/NN NP JJ NN
arcteryx	!arcteryx/NN NN NN
arctic	NN NN !arctic/JJ NN NN NN NN
arctix	VV CD NN IN !arctix/NP NP NN NN NN
arden	DT NN SYM JJ NN !arden/NN NN
ardene	!ardene/JJ NN NNS
are	VV CD NN IN !be/VBP PP VBG VVN
area	VV CD NN IN NN VVN NP JJ !area/NN NN
areas	NN NN SYM JJ NN TO VV NN !area/NNS
arena	CD NN IN NN NNS !arena/NN NN
ariat	VV RB TO CD NN IN !ariat/NN NNS
ariels	VV CD NN IN NN NNS !ariel/NNS NN NN NN CD
aritzia	!aritzia/NN NN NN
ark	VV CD NN IN NN PP$ NN IN CD NNS !ark/NN
arkham	NN !arkham/NN NN NN IN NN
arlo	CD NN IN NN !arlo/NN JJ CD NN NN NN NN
arm	NN !arm/NN
armani	!armani/NN NN
armarkat	CD NN IN !armarkat/NN JJ NN NN
armchair	NN !armchair/NN IN NN
armed	VVN NNS IN DT JJ !armed/JJ NNS MD VV JJ NN IN NN NNS NN RB MD JJ
armor	CD NN IN NN !armor/NN JJ NN NN
armour	VV CD NN IN IN !armour/NN NN NN NN
armrest	VV CD NN IN NN NN JJ JJ NN NN NN IN JJ NN CC !armrest/NN
army	VV CD NN IN JJ JJ !army/NN NN NN NN
aroma	VV CD NN IN NN NN !aroma/NN NN
aromatherapy	!aromatherapy/NN NN NN
around	VV JJ NNS NN !around/IN NN
around-ear	VV CD NN IN JJ NN !around-ear/NN NN NN NN NNS
arranging	!arrange/VVG NN NNS
arrival	NNS VVG IN NP SYM NN NN IN JJ JJ NN SYM JJ NN IN JJ !arrival/NN NN
arrivals	CD NN IN JJ !arrival/NNS
arrived	VV CD NN SYM JJ NNS VHP !arrive/VVN
arrow	VV CD NN IN NP NN !arrow/NN
art	CD NN IN NN JJ !art/NN NN
artbin	CD NN IN !artbin/NN JJ NN JJ JJ VVN NN
arthritis	NN !arthritis/NN NN
arthur	CD NN IN NN !arthur/NN DT NN IN DT NN
artisan	VV CD !artisan/NN NN CC VV PP JJ
artisanal	VV CD !artisanal/JJ NN
artisans	VV CD NN CD NN IN NNS VVN IN JJ !artisan/NNS
artisian	VV CD NN IN JJ JJ NNS CD IN CD !artisian/NN NN
artist	VV CD NN IN JJ NP NN !artist/NN JJ NN
artnaturals	VV CD NN IN !artnaturals/NNS JJ NN NN NN NN
as	NNS !as/IN JJ IN NN
ash	VV CD NN IN NN JJ JJ NNS !ash/NN NN JJR
ashley	CD NN IN NP !Ashley/NP NN NN IN DT NN
asian	JJ JJ !Asian/JJ JJ NN
asians	CD NN IN JJ JJ !Asian/NNS NN
asics	NP !asics/NNS VVG NN
askholmen	NN NN NN IN NN CC !askholmen/NN NN
asmodee	VV CD NN IN !asmodee/NN NNS NN
aspen	CD NN IN !aspen/JJ NN DT NN JJ NN NN NN
aspire	NN CD NN NNS !aspire/VV NN NN
aspirin	NN NN NN JJ !aspirin/NN SYM NN JJ NNS SYM NN IN RB JJ
asprin	NN NN NN JJ NN SYM NN JJ NNS SYM !asprin/NN IN RB JJ
asrock	!asrock/NN CD NN NN NN NN IN NN
assassins	VV CD NN IN NN CD PP JJ !assassin/NNS NN NNS NN NN NN NN
assault	VV CD NN IN !assault/NN NN NNS VVP NN NN NN
assert	CD NN RP IN NN NP NP NN !assert/VVP
assessories	NNS CC !assessories/NNS
assistance	JJ NN NN !assistance/NN
assn	VV CD NN IN PP NN !Assn/NN
assorted	CD NN IN VV NNS !assorted/JJ NNS NN
assortment	NNS NN !assortment/NN
astors	NN !astors/NNS
asus	JJS !asus/NN NN CD JJ NN IN NN
at	NN CD !at/IN CD RB
at-dp	VV CD NN IN JJ NNS SYM NN CC !at-dp/NN NN NN
at-home	VV CD NN IN PP$ JJ !at-home/NN NNS
at-st	CD NN IN NN NN NNS !at-st/NN NN
atelier	CD NN IN JJ !atelier/NN NN NN JJ NN
athletic	VV CD NN JJ NNS SYM CD NN IN !athletic/JJ NNS SYM JJR
athletics	VV NN IN !athletics/NNS NNS IN DT JJ NN
atkins	!atkins/NNS NN NN
atlantic	!Atlantic/JJ NNS
atlantis	VV CD NN IN JJ !Atlantis/NNS
atmosphere	!atmosphere/NN NN JJ NNS
atmosphere/	!atmosphere//NN NN NP NN
attachment	VV CD NN IN JJ NN NN NN IN NN NN !attachment/NN
attack	JJ NN NNS JJ NN !attack/NN
attire	VV RB TO CD NN IN JJ NN !attire/NN
atv	VV CD NN IN JJ JJ NNS IN NN !atv/NN NN
atw	CD NN IN NN NN JJ JJ JJ !atw/JJ
au	VV NN IN NN NN !au/NN NN JJ NN
aubrey	!aubrey/JJ
auctions	NN NN JJ NN !auction/NNS
audio	VV CD NN IN PP$ !audio/JJ JJ NN NN NN NN
audio-technica	CD NN IN !audio-technica/NN JJ NN
aug	IN !Aug/NN CD
august	!august/JJ CD
aukey	VV RB TO CD NN IN !aukey/JJ JJ NNS
aussie	VV CD NN IN !Aussie/NN JJ NN NN NN NN
australia	NN !australia/NN NN JJ NN
australian	!Australian/JJ NN NN
auto	VV CD NN IN NN NN NN !auto/NN VVG VVG NN
auto-iq	NN NN NNS NNS VV CD NN IN NN NN NN !auto-iq/JJ NN
auto-on/	CD NN IN NN JJ NN VV IN !auto-on//NN IN JJ NN
autocam	VV NN IN !autocam/JJ JJ NN NN IN JJ NN
autographed	VV NN JJR IN NN JJ NN NN VVN IN NN JJ !autographed/JJ NN IN RB JJ
automatic	CD NN IN NNS RB !automatic/JJ NN CC NN NN
automotive	!automotive/JJ
autoseal	VV CD NN IN NN !autoseal/NNS JJ NN NN NN
autumn	!autumn/NN NN
autumn-winter	VV RB TO CD NN IN !autumn-winter/JJR NN
av	VV CD NN IN NP NP NP NN !av/NN NN IN NN
available	NN JJ VVP CD !available/JJ RB
avalon	VV CD NN IN !avalon/NN NNS
avante	VV CD NN IN NN !avante/NN JJ JJ NN
ave	VV CD NN IN !ave/JJS CD NN IN JJ NN IN NP
aveda	!aveda/NP NP NNS
avengers	NNS DT !avenger/NNS JJ NN IN NN
avent	CD NN IN JJ !avent/JJ NN NN JJ
avenue	VV CD NN IN !avenue/NN CD NN NN NN NN NN
aviana	RB !aviana/JJR JJ JJ NN NN NN
avon	!Avon/NN NN NN JJ NN NN NN NN IN NN
aw	CD NN IN !aw/JJ NN NN NN NN
awakens	DT NN !awaken/VVZ JJR
away	VV CD NN IN JJ NNS NNS !away/RB VV NN
aws-100	VV CD NN IN NN VVP NN NN JJ !aws-100/JJ JJ NN NN
axe	!axe/NN NN
axle	NN !axle/NN JJ NN CD NN NN IN JJ
a|x	!a|x/NN NNS NN NN NN NN
b	CD NN IN JJ !b/NN JJ NN
b&o	VV CD NN IN JJ !b&o/NN NN
b-agile	VV CD NN IN !b-agile/JJ NN NN NN
b-complex	JJ !b-complex/NN IN JJ JJ NN NN SYM
b-right	VV !b-right/NN NN CD NNS JJ JJ NN NN NNS CD NNS IN NN
b.	CD NN IN !b./JJ NN
b50	JJ NN SYM !b50/JJ JJ NN IN NN
b60	NN JJ NN !b60/NN JJ VVP NN NN IN NN
babies	!baby/NNS SYM PP NP NNS
babiesrus	!babiesrus/NN NN NNS
baby	!baby/NN
baby-soothe	VV CD NN IN JJ NNS !baby-soothe/VV PP NN
babybjorn	VV CD NN IN !babybjorn/JJ JJ NN
babycakes	VV CD NN IN !babycakes/NNS NNS
babydoll	CD NN IN !babydoll/NN NN JJ NN NN NN NN VVD
babyliss	VV CD NN IN !babyliss/JJ JJ NN NN VV NN
babylisspro	VV CD NN IN JJ !babylisspro/NN NN NNS
babylon	VV CD NN IN !Babylon/NN CD DT JJ NN
babyroues	NN IN !babyroues/NNS NN NN NNS
babys	CD NN RB VV NN VV !babys/NNS NN NN
babysitter	VV CD NN IN JJ NN !babysitter/NN NN
babytime	VV NN IN DT !babytime/NN NN VVG NN
back	VV CD NN IN !back/RB TO DT NN
back-to-school	MD NP !back-to-school/NN NNS
backpack	VV CD NN IN IN NN NN NN !backpack/NN
backpacks	CD NN IN NNS NN !backpack/NNS
backrest	VV CD NN IN JJ CD NN NN IN NN NN !backrest/NN
backup	CD NN IN NN !backup/NN CC JJ NN
backyard	VV CD NN IN !backyard/NN NN VVZ DT NN NN NN NN
bacon	!bacon/NN
bacteria	JJ TO JJ NN IN JJ !bacterium/NNS
bad	VV CD NN IN VVG !bad/JJ
badger	VV CD NN IN !badger/NN
bag	VV CD NN IN JJ JJ JJ NN NN IN CD NN CC VV !bag/NN
bagel	NN JJ !bagel/NN NN
bagels	VVP CD JJ !bagel/NNS IN NN
baggallini	VV CD NN IN !baggallini/NN NN JJ NN
bagged	VV CD NN NN NN NN CC !bag/VVN NN
baggy	CD NN IN NN !bagie/NN NN
bagless	VV CD NN IN NN NN JJ !bagless/JJ JJ NN
bags	!bag/NNS
baguette	VV CD NN !baguette/NN CC VV PP JJ
bahama	CD NN IN NN !bahama/NN JJ NN NN VVD
bailey	VV CD NN IN JJ JJ !bailey/NN NN NN NN NN
bake	CD NN IN CD NN JJ !bake/NN NN
baked	RB !bake/VVD JJ DT NN VVG NN NN NN
bakelite	CD NN IN NN NN !bakelite/NN NN NN NN
baker	CD NN IN NP JJ !baker/NN
bakersfield	CD NN IN VVG !bakersfield/NN NN JJ NN NN NN
bakerstone	VV CD NN IN !bakerstone/NN NN NN NN
bakery	VV CD NN IN NN NN !bakery/NN NN NN
bakery-cafe	NN NN !bakery-cafe/NP NP JJ NN
bakeware	VV CD NN IN NN NN VVG NN !bakeware/NN VVN IN JJ NN
baking	VV CD JJ JJ NN NN WRB PP VVP JJ !bake/VVG NNS
balance	NNS !balance/NN JJ NN
balance-ball	CD NN IN JJ NP !balance-ball/NN NNS
ball	CD NN IN JJ NN !ball/NN NN NN
ballerina	!ballerina/NN IN JJ NN
ballet	VV DT JJ !ballet/NN RB CC VV DT JJ NN VV JJ
balloons	VV CD NN IN JJ NN NN !balloon/NNS
ballotin	VV CD NN IN NP NP NN !ballotin/NN NN NN NN
balls	VV CD NN IN NN NN NN IN JJ !ball/NNS
ballykissangel	VV CD NN IN !ballykissangel/NN
balm	NN NNS NN CD NN JJ NN !balm/NN
bambi	CD NN IN !bambi/NN NN
bamboo	VV !bamboo/NN
banana	!banana/NN NN NN NNS
band	VV CD NN IN NN NN CD JJ NN !band/NN
bands	RB TO CD NN IN NN !band/NNS IN NNS CC NNS
bang	CD NN IN DT JJ !bhang/NN NN
bangle	CD NN IN NN VV !bangle/NN NN
bank	VV NP NP NN !bank/NN IN NN IN NN
banks	VV JJ IN JJ NN !bank/NNS
banz	VV RB TO CD NN IN !banz/NP VVP
bar	!bar/NN NN NNS
barbell	VV CD NN IN NN !barbell/NN NN NN JJ NN
barbera	VV RB TO CD NN IN JJ NN !barbera/NN NNS
barbie	VV CD NN IN !barbie/NN NN NN
barbra	NNS NN VVP NN IN CD NN IN DT !barbra/NN NN NN NNS
bare	CD NN IN NN NN NN !bare/JJ NNS NN NN NN
bargains	JJ NN NN !bargain/NNS JJ JJ NN
barista	NN NN NN NNS IN !barista/NN JJ
bark	VV CD NN IN NN !bark/NN NN JJ NN NN NN
barkin	CD NN IN JJ NNS JJ JJ NN DT !barkin/NN NN
barmful	JJ TO JJ NN IN !barmful/JJ NNS
barn	JJ !barn/NN NN NNS
barnabys	NN !barnabys/NNS JJ NNS
barney	VV CD NN IN !barney/NN NN
barnyard	CD NN IN JJ !barnyard/NN NN NN
barrel	!barrel/NN NNS IN NN
barricade	VV CD NN IN NN !barricade/NN NN NN NN JJ NN
barry	NNS NN VVP NN IN CD NN IN DT NN !barry/NN NN NNS
bars	VV CD NN NNS IN NP SYM IN IN CD NN IN DT CD NN JJ NN !bar/NNS
barska	CD NN IN !barska/NP JJ JJ JJ
barstools	VV CD NN IN RB RB JJ !barstools/NNS SYM JJ CD NN IN NN
barton	!barton/NN NN NN NN NN IN NN
barware	!barware/NP SYM JJ CD NN IN NN
base	VV RB TO CD NN IN !base/NN NNS
baseplate	VV CD NN IN NN JJ JJ !baseplate/NN NN CD
basic	CD NN IN JJ NNS !basic/JJ NN NN
basics	JJ NNS IN !basic/NNS
bask	!bask/VV IN DT NN NN
basket	VV CD NN IN NNS NNS !basket/NN IN CD
basketball	VV CD NN IN VVG CD JJ JJ !basketball/NN NN
baskets	VV CD NN IN JJ NN JJ JJ NN IN CD !basket/NNS
baskin	!baskin/NN NNS NN NN NNS
baskin-robbins	!baskin-robbins/NNS NNS IN DT NN NN
bassinet	NN IN NNS NN !bassinet/NN NNS
bat	VV CD NN IN JJ NN NN JJ NNS VVG !bat/NN NN NN
batgirl	CD NN IN NP JJ NN NNS !batgirl/NN NN IN NNS
bath	!bath/NN
bath&body	!bath&body/NN VVZ NN NNS
bathroom	VV CD NN IN !bathroom/NN NN
bathtub	NN NN TO VV NN NN !bathtub/NN CC NNS VVN
batman	VV CD NN IN !batman/NN
battat	CD NN IN !battat/NN NN NN NN NN
batter	VV CD NN IN JJ NN NN !batter/NN NN
batteries	CD NN IN VV IN NN !battery/NNS
